_id,bathrooms,bedrooms,beds,business_travel_ready,city,host_languages,latitude,longitude,monthly_price_factor,name,neighborhood,new_listing,person_capacity,price_rate,price_rate_type,property_type,refundable,reviews_count,room_type,scrim_color,section_offset,star_rating,superhost,tier_id,user_id,user_name,verified,weekly_price_factor
14791295,1.0,2,2,False,Kuta Selatan,"en,id",-8.821891110779939,115.12093557010091,1.0,"Akasia 2 Bedroom Hillside Villa, Pecatu",South Kuta/Bukit Peninsula,False,4,215,nightly,11,False,0,entire_home,#1A1712,1,,False,0,1455923,Nick,False,1.0
4888655,3.0,3,3,False,South Kuta,"en,id,ja",-8.804873270954282,115.11514792482232,0.8,Tropical beach villa by the beach,South Kuta/Bukit Peninsula,False,6,149,nightly,11,False,27,entire_home,#2C401B,1,4.5,False,0,4285989,Wayana & Bukit Vista Hosts,False,0.85
14927590,3.0,3,3,False,Kuta Selatan,"en,id",-8.76713240221306,115.21616904661914,0.8,Private Villa Nusa Dua Beach - High Speed Internet,South Kuta/Bukit Peninsula,False,9,149,nightly,11,False,1,entire_home,#1B1F0E,1,,False,0,82376985,Xandra And Joseph,False,0.9
9762346,2.0,2,2,False,Padang Padang,"en,es,id,pl",-8.816492356498573,115.10879186157004,0.9,Hakuna Matata Bali Villa 1,South Kuta/Bukit Peninsula,False,4,145,nightly,11,False,9,entire_home,#1B1C17,1,4.5,False,0,49698555,Hakuna Matata Bali Villas,False,0.97
9603595,2.0,2,2,False,Padang Padang ,"en,es,id,pl",-8.81615309953894,115.1070186399393,0.9,Private Pool Villa with Sea Views and Beach-Garden,South Kuta/Bukit Peninsula,False,4,145,nightly,11,False,7,entire_home,#524235,1,5.0,False,0,49698555,Hakuna Matata Bali Villas,False,0.97
9617736,2.0,2,2,False,Uluwatu,"en,es,id,pl",-8.816136486308467,115.10838016173828,0.9,Private Sea Views Villa with Pool-Beach garden,South Kuta/Bukit Peninsula,False,4,145,nightly,11,False,2,entire_home,#090B0A,1,,False,0,49698555,Hakuna Matata Bali Villas,False,0.97
9761078,2.0,2,2,False,Uluwatu,"en,es,id,pl",-8.81603263894355,115.10762094667409,0.9,Private huge Villa with Sea Views and Beach-Garden,South Kuta/Bukit Peninsula,False,4,145,nightly,11,False,11,entire_home,#2C2920,1,5.0,False,0,49698555,Hakuna Matata Bali Villas,False,0.97
9760450,2.0,2,2,False,Padang Padang ,"en,es,id,pl",-8.818333413273484,115.10666283593699,0.9,Private 2BR Villa Pool-Beach-Garden-Pool table,South Kuta/Bukit Peninsula,False,4,145,nightly,11,False,1,entire_home,#322924,1,,False,0,49698555,Hakuna Matata Bali Villas,False,0.97
23442664,3.0,3,3,False,Kuta Selatan,,-8.808309684992476,115.11482035943182,0.8,Shine Bright Tropical Sweet Home,South Kuta/Bukit Peninsula,True,6,309,nightly,11,False,1,entire_home,#14100D,1,,False,0,48830744,Darmadi,False,0.9
18828248,2.0,3,3,False,Kuta Selatan,,-8.813268689536564,115.12126512263539,1.0,Villa Private 3BR Melati,South Kuta/Bukit Peninsula,False,6,202,nightly,40,False,0,private_room,#2A2B19,1,,False,0,131109309,Allea,False,1.0
4947431,4.0,4,8,False,Uluwatu,"en,id,ja",-8.821686604306224,115.08824080121965,1.0,4Rooms - Cozy Clifftop Cabin by Uluwatu Surf Beach,South Kuta/Bukit Peninsula,False,8,138,nightly,40,False,30,private_room,#564940,1,4.5,False,0,4285989,Wayana & Bukit Vista Hosts,False,1.0
21553079,2.0,2,2,False,Kuta Selatan,"en,id,ja",-8.82589045091409,115.14030510821108,1.0,Romantic Tropical Teak Villa in Uluwatu #Ak1,South Kuta/Bukit Peninsula,False,4,134,nightly,11,False,8,entire_home,#22312E,1,5.0,False,0,4285989,Wayana & Bukit Vista Hosts,False,1.0
21258569,1.0,1,1,False,Kuta Selatan,"en,id",-8.81593914394084,115.11474076223135,1.0,One Bedroom Luxury G Villas Padang Padang Beach 2,South Kuta/Bukit Peninsula,False,2,135,nightly,11,False,0,entire_home,#1F2120,1,,False,0,73894532,Putu Eka,False,1.0
15793720,2.0,2,2,False,Badung,"en,id",-8.80286440980975,115.20690834192916,0.95,"2BR, Luxury Private Villas",South Kuta/Bukit Peninsula,False,4,142,nightly,11,False,1,entire_home,#39291A,1,,False,0,88228759,Dian,False,1.0
22826744,3.5,5,5,False,Kuta,"en,id",-8.824248532930861,115.13807828445594,0.9,"5 Bedroom Villa @ Pecatu, Kuta Selatan",South Kuta/Bukit Peninsula,False,10,135,nightly,11,False,0,entire_home,#11140D,1,,False,0,158633854,Winson,False,0.95
19535713,1.0,1,1,False,Kuta Selatan,"en,id,ms",-8.81635884385643,115.09454423371861,1.0,Villa Garden - De Sapphire,South Kuta/Bukit Peninsula,False,2,288,nightly,11,False,1,entire_home,#1A150F,1,,False,0,49234314,De Sapphire,False,1.0
20936133,2.0,2,2,False,Kuta Selatan,"en,id",-8.837144085147603,115.16413487715272,1.0,2 Bedroom Villas Saraya at Jimbaran || Brand New,South Kuta/Bukit Peninsula,False,4,288,nightly,11,False,0,entire_home,#16131A,1,,False,0,14620366,"Eva, Maya And Gusto",False,1.0
16137067,3.0,3,3,False,Kuta,"en,id",-8.837006811926578,115.16367265366007,1.0,3 BDR Lidwina Villa at Jimbaran,South Kuta/Bukit Peninsula,False,6,288,nightly,11,False,0,entire_home,#2B323A,1,,False,0,14620366,"Eva, Maya And Gusto",False,1.0
16136924,3.0,3,3,False,Kuta,"en,id",-8.83993219751247,115.16419420223895,1.0,3 BDR Hardevi Villa at Jimbaran,South Kuta/Bukit Peninsula,False,6,288,nightly,11,False,0,entire_home,#433A31,1,,False,0,14620366,"Eva, Maya And Gusto",False,1.0
19917428,3.0,3,3,False,Kuta Selatan,,-8.825360389412074,115.13998422398204,1.0,Luxury 3BR Kayu Merah Villa near Surfing Area,South Kuta/Bukit Peninsula,False,6,284,nightly,11,False,0,entire_home,#121617,1,,False,0,84024699,Keytut,False,1.0
10326751,1.0,1,1,False,Nusa Dua,"ar,en,id",-8.835418047861703,115.21028830171858,1.0,Ocean View Luxury Suite in Nusa Dua,South Kuta/Bukit Peninsula,False,2,279,nightly,3,False,0,private_room,#3E2B27,1,,False,0,53099478,Adi,False,1.0
21158630,3.0,3,3,False,Kuta Selatan,"en,fr,id,ja,ms,pt,zh",-8.80914463028498,115.11625058426976,0.9,Homey Tropical Villa on Bingin Limestone Village,South Kuta/Bukit Peninsula,False,6,127,nightly,11,False,4,entire_home,#342C15,1,5.0,False,0,40756665,Kris & Wayana,False,0.9
11219821,1.0,1,1,False,Kuta Selatan,"en,id,nl",-8.80626,115.116005,0.8,"Suara Ombak Bingin #1, Chart House Bali",South Kuta/Bukit Peninsula,False,2,133,nightly,38,False,4,entire_home,#3E2F1C,1,5.0,False,0,28492446,Mina @ One2 Surf Indonesia,False,0.9
6384322,4.0,3,4,False,"Bingin, South Kuta","en,id,ja",-8.807027428277811,115.11667784731398,0.8,Enchanting Villa by Superb beach,South Kuta/Bukit Peninsula,False,8,192,nightly,11,False,16,entire_home,#223424,1,5.0,False,0,4285989,Wayana & Bukit Vista Hosts,False,0.85
